user_id,test_group,converted,total_ads,most_ads_day,most_ads_hour,revenue,cost_per_impression,total_cost,profit,roi
1207161,ad,FALSE,16,Monday,10,0.00,0.0500,0.80,-0.80,-1.0000
1580888,ad,FALSE,19,Sunday,13,0.00,0.0500,0.95,-0.95,-1.0000
1224574,ad,FALSE,19,Tuesday,15,0.00,0.0500,0.95,-0.95,-1.0000
1491238,ad,FALSE,68,Sunday,21,0.00,0.0500,3.40,-3.40,-1.0000
1506043,ad,FALSE,2,Thursday,22,0.00,0.0500,0.10,-0.10,-1.0000
1176012,ad,FALSE,3,Saturday,8,0.00,0.0500,0.15,-0.15,-1.0000
1304078,ad,FALSE,1,Monday,14,0.00,0.0500,0.05,-0.05,-1.0000
1325282,ad,FALSE,3,Tuesday,16,0.00,0.0500,0.15,-0.15,-1.0000
1200401,ad,FALSE,15,Tuesday,10,0.00,0.0500,0.75,-0.75,-1.0000
1116536,ad,FALSE,18,Wednesday,11,0.00,0.0500,0.90,-0.90,-1.0000
1577029,ad,FALSE,2,Monday,19,0.00,0.0500,0.10,-0.10,-1.0000
1370427,ad,FALSE,37,Friday,22,0.00,0.0500,1.85,-1.85,-1.0000
1431997,ad,FALSE,6,Tuesday,12,0.00,0.0500,0.30,-0.30,-1.0000
1642866,ad,FALSE,22,Wednesday,10,0.00,0.0500,1.10,-1.10,-1.0000
1622696,ad,FALSE,8,Monday,20,0.00,0.0500,0.40,-0.40,-1.0000
1593491,ad,FALSE,6,Friday,9,0.00,0.0500,0.30,-0.30,-1.0000
1509012,ad,FALSE,5,Wednesday,22,0.00,0.0500,0.25,-0.25,-1.0000
1501762,ad,FALSE,9,Thursday,14,0.00,0.0500,0.45,-0.45,-1.0000
1134537,ad,FALSE,5,Friday,15,0.00,0.0500,0.25,-0.25,-1.0000
1233183,ad,FALSE,1,Monday,16,0.00,0.0500,0.05,-0.05,-1.0000
1565152,ad,FALSE,8,Monday,10,0.00,0.0500,0.40,-0.40,-1.0000
1222957,ad,FALSE,4,Sunday,1,0.00,0.0500,0.20,-0.20,-1.0000
1249086,ad,FALSE,13,Monday,18,0.00,0.0500,0.65,-0.65,-1.0000
914626,psa,FALSE,29,Sunday,13,0.00,0.0200,0.58,-0.58,-1.0000
901826,psa,FALSE,2,Wednesday,12,0.00,0.0200,0.04,-0.04,-1.0000
1146700,ad,FALSE,34,Friday,19,0.00,0.0500,1.70,-1.70,-1.0000
1461590,ad,FALSE,44,Monday,17,0.00,0.0500,2.20,-2.20,-1.0000
1492275,ad,FALSE,3,Wednesday,23,0.00,0.0500,0.15,-0.15,-1.0000
1459966,ad,FALSE,1,Sunday,15,0.00,0.0500,0.05,-0.05,-1.0000
1144876,ad,FALSE,38,Saturday,14,0.00,0.0500,1.90,-1.90,-1.0000
1574679,ad,FALSE,8,Wednesday,17,0.00,0.0500,0.40,-0.40,-1.0000
1370088,ad,FALSE,1,Friday,11,0.00,0.0500,0.05,-0.05,-1.0000
1108913,ad,FALSE,4,Sunday,9,0.00,0.0500,0.20,-0.20,-1.0000
1191784,ad,FALSE,53,Tuesday,22,0.00,0.0500,2.65,-2.65,-1.0000
918287,psa,FALSE,1,Saturday,23,0.00,0.0200,0.02,-0.02,-1.0000
1480958,ad,FALSE,1,Sunday,13,0.00,0.0500,0.05,-0.05,-1.0000
1237883,ad,FALSE,6,Friday,10,0.00,0.0500,0.30,-0.30,-1.0000
1529203,ad,FALSE,2,Wednesday,10,0.00,0.0500,0.10,-0.10,-1.0000
1288081,ad,FALSE,18,Thursday,12,0.00,0.0500,0.90,-0.90,-1.0000
1533901,ad,FALSE,1,Thursday,13,0.00,0.0500,0.05,-0.05,-1.0000
1481456,ad,FALSE,3,Friday,13,0.00,0.0500,0.15,-0.15,-1.0000
1226880,ad,FALSE,3,Monday,20,0.00,0.0500,0.15,-0.15,-1.0000
1581655,ad,FALSE,14,Thursday,12,0.00,0.0500,0.70,-0.70,-1.0000
1148529,ad,FALSE,15,Wednesday,15,0.00,0.0500,0.75,-0.75,-1.0000
1370379,ad,FALSE,27,Wednesday,17,0.00,0.0500,1.35,-1.35,-1.0000
1268259,ad,FALSE,28,Monday,10,0.00,0.0500,1.40,-1.40,-1.0000
1016998,ad,FALSE,2,Tuesday,9,0.00,0.0500,0.10,-0.10,-1.0000
1382255,ad,FALSE,17,Sunday,10,0.00,0.0500,0.85,-0.85,-1.0000
1498323,ad,FALSE,19,Sunday,23,0.00,0.0500,0.95,-0.95,-1.0000
1197130,ad,FALSE,5,Saturday,14,0.00,0.0500,0.25,-0.25,-1.0000
1444515,ad,TRUE,90,Thursday,14,120.00,0.0500,4.50,115.50,25.6667
1654276,ad,FALSE,2,Sunday,13,0.00,0.0500,0.10,-0.10,-1.0000
908001,psa,FALSE,1,Friday,14,0.00,0.0200,0.02,-0.02,-1.0000
1648652,ad,FALSE,17,Wednesday,19,0.00,0.0500,0.85,-0.85,-1.0000
1231917,ad,FALSE,1,Monday,9,0.00,0.0500,0.05,-0.05,-1.0000
1184035,ad,FALSE,106,Friday,11,0.00,0.0500,5.30,-5.30,-1.0000
1292517,ad,FALSE,19,Monday,13,0.00,0.0500,0.95,-0.95,-1.0000
1195781,ad,FALSE,7,Tuesday,12,0.00,0.0500,0.35,-0.35,-1.0000
1434726,ad,FALSE,13,Thursday,22,0.00,0.0500,0.65,-0.65,-1.0000
1482763,ad,FALSE,25,Friday,15,0.00,0.0500,1.25,-1.25,-1.0000
1196695,ad,FALSE,22,Sunday,8,0.00,0.0500,1.10,-1.10,-1.0000
1498845,ad,FALSE,2,Sunday,13,0.00,0.0500,0.10,-0.10,-1.0000
1520617,ad,FALSE,1,Sunday,17,0.00,0.0500,0.05,-0.05,-1.0000
1467449,ad,FALSE,29,Saturday,13,0.00,0.0500,1.45,-1.45,-1.0000
1342354,ad,FALSE,115,Friday,11,0.00,0.0500,5.75,-5.75,-1.0000
1507339,ad,FALSE,14,Friday,22,0.00,0.0500,0.70,-0.70,-1.0000
1164221,ad,FALSE,1,Friday,15,0.00,0.0500,0.05,-0.05,-1.0000
1014115,ad,FALSE,14,Sunday,13,0.00,0.0500,0.70,-0.70,-1.0000
922896,psa,FALSE,111,Monday,20,0.00,0.0200,2.22,-2.22,-1.0000
1514818,ad,FALSE,5,Thursday,21,0.00,0.0500,0.25,-0.25,-1.0000
1602726,ad,FALSE,1,Sunday,10,0.00,0.0500,0.05,-0.05,-1.0000
1619250,ad,FALSE,5,Friday,16,0.00,0.0500,0.25,-0.25,-1.0000
1467278,ad,FALSE,8,Tuesday,17,0.00,0.0500,0.40,-0.40,-1.0000
1098318,ad,FALSE,37,Friday,22,0.00,0.0500,1.85,-1.85,-1.0000
1194801,ad,FALSE,1,Friday,15,0.00,0.0500,0.05,-0.05,-1.0000
1427896,ad,FALSE,1135,Monday,13,0.00,0.0500,56.75,-56.75,-1.0000
1535800,ad,FALSE,27,Monday,13,0.00,0.0500,1.35,-1.35,-1.0000
1608397,ad,FALSE,2,Tuesday,13,0.00,0.0500,0.10,-0.10,-1.0000
1553735,ad,FALSE,16,Saturday,8,0.00,0.0500,0.80,-0.80,-1.0000
1185654,ad,FALSE,4,Sunday,11,0.00,0.0500,0.20,-0.20,-1.0000
1039386,ad,FALSE,23,Monday,10,0.00,0.0500,1.15,-1.15,-1.0000
1057212,ad,TRUE,97,Monday,16,120.00,0.0500,4.85,115.15,23.7423
1088123,ad,FALSE,24,Monday,18,0.00,0.0500,1.20,-1.20,-1.0000
1445756,ad,FALSE,17,Saturday,2,0.00,0.0500,0.85,-0.85,-1.0000
1258968,ad,FALSE,23,Friday,16,0.00,0.0500,1.15,-1.15,-1.0000
1485658,ad,FALSE,225,Friday,22,0.00,0.0500,11.25,-11.25,-1.0000
1151414,ad,FALSE,5,Wednesday,18,0.00,0.0500,0.25,-0.25,-1.0000
1353121,ad,FALSE,5,Tuesday,16,0.00,0.0500,0.25,-0.25,-1.0000
1538765,ad,FALSE,7,Friday,18,0.00,0.0500,0.35,-0.35,-1.0000
1246850,ad,FALSE,23,Sunday,18,0.00,0.0500,1.15,-1.15,-1.0000
